param d: 	 1 	 2 := 
105 	 1 	 10.14 
106 	 1 	 7.63 
107 	 1 	 13.33 
108 	 1 	 6.45 
109 	 1 	 8.26 
110 	 1 	 6.58 
111 	 1 	 7.48 
112 	 1 	 10.74 
113 	 1 	 9.48 
114 	 1 	 7.37 
115 	 1 	 3.71 
116 	 1 	 3.89 
117 	 1 	 6.58 
118 	 1 	 5.86 
119 	 1 	 1.43 
120 	 1 	 7.22 
121 	 1 	 6.16 
122 	 1 	 3.87 
123 	 1 	 5.77 
124 	 1 	 5.05 
125 	 1 	 2.20 
126 	 1 	 6.06 
127 	 1 	 8.97 
128 	 1 	 6.99 
129 	 1 	 8.57 
130 	 1 	 3.26 
131 	 1 	 4.91 
132 	 1 	 4.61 
133 	 1 	 5.43 
134 	 1 	 3.04 
135 	 1 	 9.53 
136 	 1 	 3.40 
137 	 1 	 3.30 
138 	 1 	 6.68 
139 	 1 	 8.57 
140 	 1 	 8.53 
141 	 1 	 3.74 
142 	 1 	 5.50 
143 	 1 	 8.39 
144 	 1 	 8.91 
145 	 1 	 6.56 
146 	 1 	 2.78 
147 	 1 	 11.14 
148 	 1 	 7.81 
149 	 1 	 9.29 
150 	 1 	 10.69 
151 	 1 	 3.94 
152 	 1 	 8.16 
153 	 1 	 5.33 
154 	 1 	 2.83 
155 	 1 	 5.84 
156 	 1 	 6.52 
157 	 1 	 6.87 
158 	 1 	 4.06 
159 	 1 	 8.03 
160 	 1 	 4.44 
161 	 1 	 7.98 
162 	 1 	 8.24 
163 	 1 	 7.93 
164 	 1 	 5.49 
165 	 1 	 0.77 
166 	 1 	 6.76 
167 	 1 	 5.44 
168 	 1 	 8.57 
169 	 1 	 3.75 
170 	 1 	 11.82 
171 	 1 	 4.12 
172 	 1 	 6.55 
173 	 1 	 8.66 
174 	 1 	 6.15 
175 	 1 	 7.39 
176 	 1 	 5.95 
177 	 1 	 6.50 
178 	 1 	 10.67 
179 	 1 	 7.09 
180 	 1 	 5.96 
181 	 1 	 2.41 
182 	 1 	 9.23 
183 	 1 	 8.78 
184 	 1 	 8.97 
185 	 1 	 9.09 
186 	 1 	 10.30 
187 	 1 	 7.30 
188 	 1 	 3.38 
189 	 1 	 8.91 
190 	 1 	 8.30 
191 	 1 	 6.97 
192 	 1 	 5.41 
193 	 1 	 8.63 
194 	 1 	 5.89 
195 	 1 	 9.65 
196 	 1 	 10.46 
197 	 1 	 8.64 
198 	 1 	 9.10 
199 	 1 	 3.93 
200 	 1 	 8.06 
201 	 1 	 6.01 
202 	 1 	 9.03 
203 	 1 	 0.89 
204 	 1 	 12.42 
205 	 1 	 6.61 
206 	 1 	 6.84 
207 	 1 	 10.53 
208 	 1 	 10.07 
209 	 1 	 10.44 
210 	 1 	 5.94 
211 	 1 	 9.01 
212 	 1 	 10.92 
213 	 1 	 9.51 
214 	 1 	 7.17 
215 	 1 	 5.04 
216 	 1 	 11.70 
217 	 1 	 9.68 
218 	 1 	 10.58 
219 	 1 	 11.64 
220 	 1 	 8.72 
221 	 1 	 7.39 
222 	 1 	 8.39 
223 	 1 	 8.06 
224 	 1 	 6.57 
225 	 1 	 10.40 
226 	 1 	 5.22 
227 	 1 	 4.42 
228 	 1 	 4.59 
229 	 1 	 10.42 
230 	 1 	 9.76 
231 	 1 	 10.16 
232 	 1 	 7.86 
233 	 1 	 6.06 
234 	 1 	 8.76 
235 	 1 	 5.23 
236 	 1 	 9.53 
237 	 1 	 9.38 
238 	 1 	 4.05 
239 	 1 	 4.67 
240 	 1 	 1.28 
241 	 1 	 8.37 
242 	 1 	 8.80 
243 	 1 	 7.87 
244 	 1 	 1.81 
245 	 1 	 9.51 
246 	 1 	 11.29 
247 	 1 	 10.31 
248 	 1 	 5.89 
249 	 1 	 13.01 
250 	 1 	 9.88 
251 	 1 	 11.31 
252 	 1 	 12.16 
253 	 1 	 4.78 
254 	 1 	 2.71 
255 	 1 	 1.77 
256 	 1 	 5.62 
257 	 1 	 3.08 
258 	 1 	 6.80 
259 	 1 	 6.28 
260 	 1 	 5.81 
261 	 1 	 3.22 
262 	 1 	 3.36 
263 	 1 	 5.92 
264 	 1 	 4.68 
265 	 1 	 4.11 
266 	 1 	 2.52 
267 	 1 	 7.57 
268 	 1 	 6.86 
269 	 1 	 8.09 
270 	 1 	 6.11 
271 	 1 	 8.04 
272 	 1 	 8.61 
273 	 1 	 6.59 
274 	 1 	 3.76 
275 	 1 	 4.21 
276 	 1 	 7.44 
277 	 1 	 6.99 
278 	 1 	 3.49 
279 	 1 	 1.76 
280 	 1 	 5.94 
281 	 1 	 5.58 
282 	 1 	 3.96 
283 	 1 	 3.70 
284 	 1 	 5.01 
285 	 1 	 6.29 
286 	 1 	 5.41 
287 	 1 	 4.26 
288 	 1 	 4.35 
289 	 1 	 5.72 
290 	 1 	 3.14 
291 	 1 	 6.34 
292 	 1 	 7.98 
293 	 1 	 6.26 
294 	 1 	 7.57 
295 	 1 	 2.24 
296 	 1 	 4.85 
297 	 1 	 3.67 
298 	 1 	 6.24 
299 	 1 	 2.65 
300 	 1 	 9.62 
301 	 1 	 3.85 
302 	 1 	 4.65 
303 	 1 	 7.51 
304 	 1 	 7.93 
305 	 1 	 7.70 
306 	 1 	 3.43 
307 	 1 	 6.11 
308 	 1 	 8.35 
309 	 1 	 7.67 
310 	 1 	 5.33 
311 	 1 	 2.85 
312 	 1 	 9.92 
313 	 1 	 7.15 
314 	 1 	 8.29 
315 	 1 	 9.55 
316 	 1 	 3.40 
317 	 1 	 7.44 
318 	 1 	 4.64 
319 	 1 	 8.06 
320 	 1 	 6.96 
321 	 1 	 6.34 
322 	 1 	 3.15 
323 	 1 	 5.64 
324 	 1 	 4.13 
325 	 1 	 5.40 
326 	 1 	 5.45 
327 	 1 	 5.12 
328 	 1 	 8.80 
329 	 1 	 8.52 
330 	 1 	 9.43 
331 	 1 	 6.13 
332 	 1 	 9.04 
333 	 1 	 8.52 
334 	 1 	 4.30 
335 	 1 	 1.58 
336 	 1 	 6.49 
337 	 1 	 6.99 
338 	 1 	 8.78 
339 	 1 	 3.01 
340 	 1 	 4.11 
341 	 1 	 6.23 
342 	 1 	 4.67 
343 	 1 	 5.85 
344 	 1 	 4.66 
345 	 1 	 3.99 
346 	 1 	 4.83 
347 	 1 	 4.76 
348 	 1 	 5.69 
349 	 1 	 6.27 
350 	 1 	 4.47 
351 	 1 	 3.20 
352 	 1 	 2.46 
353 	 1 	 7.23 
354 	 1 	 5.81 
355 	 1 	 2.86 
356 	 1 	 2.74 
357 	 1 	 6.46 
358 	 1 	 7.72 
359 	 1 	 6.40 
360 	 1 	 6.23 
361 	 1 	 7.68 
362 	 1 	 7.72 
363 	 1 	 7.37 
364 	 1 	 3.88 
365 	 1 	 3.84 
366 	 1 	 7.08 
367 	 1 	 5.47 
368 	 1 	 4.68 
369 	 1 	 2.97 
370 	 1 	 6.54 
371 	 1 	 6.43 
372 	 1 	 2.72 
373 	 1 	 3.45 
374 	 1 	 5.59 
375 	 1 	 7.04 
376 	 1 	 2.09 
377 	 1 	 4.18 
378 	 1 	 3.76 
379 	 1 	 8.02 
380 	 1 	 4.86 
381 	 1 	 10.36 
382 	 1 	 6.18 
383 	 1 	 2.49 
384 	 1 	 3.87 
385 	 1 	 2.64 
386 	 1 	 6.11 
387 	 1 	 5.78 
388 	 1 	 5.36 
389 	 1 	 3.99 
390 	 1 	 5.95 
391 	 1 	 10.11 
392 	 1 	 8.23 
393 	 1 	 2.02 
394 	 1 	 6.22 
395 	 1 	 4.68 
396 	 1 	 9.12 
397 	 1 	 6.32 
398 	 1 	 5.89 
399 	 1 	 11.11 
400 	 1 	 5.36 
401 	 1 	 7.89 
402 	 1 	 10.38 
403 	 1 	 8.65 
404 	 1 	 6.94 
405 	 1 	 8.30 
406 	 1 	 5.59 
407 	 1 	 5.48 
408 	 1 	 5.59 
409 	 1 	 3.64 
410 	 1 	 6.44 
411 	 1 	 3.58 
412 	 1 	 9.36 
413 	 1 	 5.33 
414 	 1 	 10.66 
415 	 1 	 6.86 
416 	 1 	 8.80 
417 	 1 	 10.51 
418 	 1 	 7.19 
419 	 1 	 6.04 
420 	 1 	 5.27 
421 	 1 	 8.88 
422 	 1 	 9.26 
423 	 1 	 4.20 
424 	 1 	 2.54 
425 	 1 	 5.81 
426 	 1 	 6.33 
427 	 1 	 6.38 
428 	 1 	 5.85 
429 	 1 	 6.35 
430 	 1 	 4.41 
431 	 1 	 2.63 
432 	 1 	 8.77 
433 	 1 	 6.11 
434 	 1 	 11.10 
435 	 1 	 7.39 
436 	 1 	 2.84 
437 	 1 	 5.59 
438 	 1 	 0.78 
439 	 1 	 7.75 
440 	 1 	 5.29 
441 	 1 	 5.41 
442 	 1 	 3.75 
443 	 1 	 4.32 
444 	 1 	 10.35 
445 	 1 	 8.59 
446 	 1 	 3.99 
447 	 1 	 5.39 
448 	 1 	 4.87 
449 	 1 	 10.17 
450 	 1 	 7.83 
451 	 1 	 6.52 
452 	 1 	 12.04 
453 	 1 	 6.29 
454 	 1 	 8.83 
455 	 1 	 11.17 
456 	 1 	 4.95 
457 	 1 	 9.04 
458 	 1 	 7.62 
459 	 1 	 8.40 
460 	 1 	 4.07 
461 	 1 	 4.60 
462 	 1 	 5.65 
463 	 1 	 4.74 
464 	 1 	 5.10 
465 	 1 	 9.30 
466 	 1 	 1.64 
467 	 1 	 2.41 
468 	 1 	 4.68 
469 	 1 	 7.72 
470 	 1 	 8.06 
471 	 1 	 4.76 
472 	 1 	 3.34 
473 	 1 	 8.54 
474 	 1 	 9.25 
475 	 1 	 7.46 
476 	 1 	 2.35 
477 	 1 	 11.38 
478 	 1 	 8.21 
479 	 1 	 9.65 
480 	 1 	 10.78 
481 	 1 	 7.09 
482 	 1 	 5.66 
483 	 1 	 9.70 
484 	 1 	 7.34 
485 	 1 	 2.19 
486 	 1 	 5.63 
487 	 1 	 3.17 
488 	 1 	 8.83 
489 	 1 	 5.11 
490 	 1 	 5.15 
491 	 1 	 5.36 
492 	 1 	 3.77 
493 	 1 	 8.66 
494 	 1 	 6.53 
495 	 1 	 4.85 
496 	 1 	 4.59 
497 	 1 	 5.12 
498 	 1 	 8.76 
499 	 1 	 7.21 
500 	 1 	 6.55 
501 	 1 	 10.39 
502 	 1 	 5.55 
503 	 1 	 7.50 
504 	 1 	 9.40 
505 	 1 	 4.32 
506 	 1 	 6.73 
507 	 1 	 7.67 
508 	 1 	 5.95 
509 	 1 	 5.28 
510 	 1 	 9.53 
511 	 1 	 10.06 
512 	 1 	 8.32 
513 	 1 	 8.62 
514 	 1 	 10.73 
515 	 1 	 10.20 
516 	 1 	 7.26 
517 	 1 	 2.72 
518 	 1 	 6.86 
519 	 1 	 9.33 
520 	 1 	 7.65 
521 	 1 	 2.80 
522 	 1 	 3.68 
523 	 1 	 8.78 
524 	 1 	 3.62 
525 	 1 	 4.15 
526 	 1 	 1.75 
527 	 1 	 2.62 
528 	 1 	 9.26 
529 	 1 	 7.19 
530 	 1 	 3.77 
531 	 1 	 2.68 
532 	 1 	 6.81 
533 	 1 	 8.08 
534 	 1 	 5.57 
535 	 1 	 8.02 
536 	 1 	 8.53 
537 	 1 	 9.22 
538 	 1 	 9.73 
539 	 1 	 6.02 
540 	 1 	 3.59 
541 	 1 	 9.00 
542 	 1 	 4.17 
543 	 1 	 5.91 
544 	 1 	 3.21 
545 	 1 	 8.16 
546 	 1 	 7.44 
547 	 1 	 1.10 
548 	 1 	 3.42 
549 	 1 	 6.74 
550 	 1 	 5.60 
551 	 1 	 8.89 
552 	 1 	 7.94 
553 	 1 	 11.77 
554 	 1 	 9.03 
555 	 1 	 13.42 
556 	 1 	 7.21 
557 	 1 	 10.80 
558 	 1 	 10.75 
559 	 1 	 2.64 
560 	 1 	 5.04 
561 	 1 	 9.32 
562 	 1 	 8.44 
563 	 1 	 12.65 
564 	 1 	 4.78 
565 	 1 	 6.74 
566 	 1 	 6.59 
567 	 1 	 5.92 
568 	 1 	 9.71 
569 	 1 	 8.17 
570 	 1 	 6.02 
571 	 1 	 6.04 
572 	 1 	 4.70 
573 	 1 	 7.96 
574 	 1 	 3.61 
575 	 1 	 11.07 
576 	 1 	 3.87 
577 	 1 	 6.19 
578 	 1 	 8.26 
579 	 1 	 6.20 
580 	 1 	 6.94 
581 	 1 	 5.22 
582 	 1 	 6.24 
583 	 1 	 9.91 
584 	 1 	 6.71 
585 	 1 	 5.34 
586 	 1 	 2.33 
587 	 1 	 8.90 
588 	 1 	 8.04 
589 	 1 	 8.35 
590 	 1 	 8.69 
591 	 1 	 3.47 
592 	 1 	 3.61 
593 	 1 	 7.27 
594 	 1 	 5.14 
595 	 1 	 5.05 
596 	 1 	 5.33 
597 	 1 	 5.47 
598 	 1 	 8.45 
599 	 1 	 5.97 
600 	 1 	 2.83 
601 	 1 	 5.52 
602 	 1 	 4.38 
603 	 1 	 7.40 
604 	 1 	 5.26 
605 	 1 	 5.87 
606 	 1 	 9.22 
607 	 1 	 3.98 
608 	 1 	 6.10 
609 	 1 	 8.35 
610 	 1 	 6.31 
611 	 1 	 5.46 
612 	 1 	 7.27 
613 	 1 	 6.14 
614 	 1 	 6.83 
615 	 1 	 8.47 
616 	 1 	 8.57 
617 	 1 	 6.15 
618 	 1 	 2.00 
619 	 1 	 7.71 
620 	 1 	 5.79 
621 	 1 	 5.76 
622 	 1 	 2.54 
623 	 1 	 5.86 
624 	 1 	 7.81 
625 	 1 	 3.69 
626 	 1 	 5.03 
627 	 1 	 7.31 
628 	 1 	 8.14 
629 	 1 	 5.52 
630 	 1 	 5.80 
631 	 1 	 3.67 
632 	 1 	 4.27 
633 	 1 	 10.95 
634 	 1 	 9.32 
635 	 1 	 4.62 
636 	 1 	 5.63 
637 	 1 	 5.22 
638 	 1 	 10.95 
639 	 1 	 8.58 
640 	 1 	 6.95 
641 	 1 	 12.82 
642 	 1 	 6.97 
643 	 1 	 9.58 
644 	 1 	 11.94 
645 	 1 	 11.63 
646 	 1 	 5.95 
647 	 1 	 6.00 
648 	 1 	 9.71 
649 	 1 	 9.81 
650 	 1 	 10.01 
651 	 1 	 5.19 
652 	 1 	 8.30 
653 	 1 	 10.17 
654 	 1 	 9.33 
655 	 1 	 6.87 
656 	 1 	 4.50 
657 	 1 	 11.56 
658 	 1 	 9.10 
659 	 1 	 10.19 
660 	 1 	 11.40 
661 	 1 	 9.93 
662 	 1 	 9.02 
663 	 1 	 8.28 
664 	 1 	 12.91 
665 	 1 	 9.25 
666 	 1 	 6.50 
667 	 1 	 9.66 
668 	 1 	 1.87 
669 	 1 	 10.72 
670 	 1 	 8.65 
671 	 1 	 10.94 
672 	 1 	 11.91 
673 	 1 	 4.92 
674 	 1 	 7.70 
675 	 1 	 10.89 
676 	 1 	 3.86 
677 	 1 	 4.63 
678 	 1 	 6.24 
679 	 1 	 7.20 
680 	 1 	 5.71 
681 	 1 	 2.46 
682 	 1 	 9.32 
683 	 1 	 8.66 
684 	 1 	 7.50 
685 	 1 	 1.88 
686 	 1 	 10.68 
687 	 1 	 8.53 
688 	 1 	 9.51 
689 	 1 	 10.10 
690 	 1 	 4.56 
691 	 1 	 10.05 
692 	 1 	 10.01 
693 	 1 	 5.31 
694 	 1 	 4.51 
695 	 1 	 8.37 
696 	 1 	 11.28 
697 	 1 	 9.06 
698 	 1 	 4.60 
699 	 1 	 13.40 
700 	 1 	 9.05 
701 	 1 	 11.09 
702 	 1 	 12.74 
703 	 1 	 9.08 
704 	 1 	 8.85 
705 	 1 	 7.43 
706 	 1 	 2.70 
707 	 1 	 8.52 
708 	 1 	 11.36 
709 	 1 	 10.15 
710 	 1 	 6.47 
711 	 1 	 13.06 
712 	 1 	 9.26 
713 	 1 	 10.94 
714 	 1 	 12.14 
715 	 1 	 4.83 
716 	 1 	 9.55 
717 	 1 	 6.77 
718 	 1 	 12.46 
719 	 1 	 6.23 
720 	 1 	 7.91 
721 	 1 	 6.26 
722 	 1 	 7.32 
723 	 1 	 10.01 
724 	 1 	 8.89 
725 	 1 	 7.02 
726 	 1 	 7.45 
727 	 1 	 7.60 
728 	 1 	 8.85 
729 	 1 	 3.44 
730 	 1 	 5.06 
731 	 1 	 7.57 
732 	 1 	 4.40 
733 	 1 	 5.95 
734 	 1 	 4.43 
735 	 1 	 3.45 
736 	 1 	 7.10 
737 	 1 	 5.03 
738 	 1 	 7.64 
739 	 1 	 4.53 
740 	 1 	 5.71 
741 	 1 	 9.69 
742 	 1 	 4.41 
743 	 1 	 6.60 
744 	 1 	 9.09 
745 	 1 	 9.52 
746 	 1 	 9.87 
747 	 1 	 9.04 
748 	 1 	 4.30 
749 	 1 	 11.65 
750 	 1 	 9.24 
751 	 1 	 10.33 
752 	 1 	 10.89 
753 	 1 	 9.80 
754 	 1 	 7.30 
755 	 1 	 10.05 
756 	 1 	 11.16 
757 	 1 	 3.75 
758 	 1 	 6.84 
759 	 1 	 10.25 
760 	 1 	 3.52 
761 	 1 	 8.29 
762 	 1 	 2.25 
763 	 1 	 6.20 
764 	 1 	 3.80 
765 	 1 	 2.20 
766 	 1 	 7.03 
767 	 1 	 5.48 
768 	 1 	 4.01 
769 	 1 	 3.49 
770 	 1 	 5.17 
771 	 1 	 10.41 
772 	 1 	 8.86 
773 	 1 	 9.59 
774 	 1 	 10.02 
775 	 1 	 7.49 
776 	 1 	 4.50 
777 	 1 	 1.20 
778 	 1 	 3.17 
779 	 1 	 6.67 
780 	 1 	 3.73 
781	1	200;
end;
